date,time,match,bet,odds,sabina_stake,sabina_result,sabina_profit,settled_status,event_winner,final_score,best_bookmaker,market_median_odds,best_to_median_gap,edge,model_prob,implied_prob,confidence,quality_score,tour_level,event_type,favorite_type,event_key,fixture_id,pick_id,sabina_pick_id,sabina_created_at,settled_at
2026-06-01,13:00,M. Huesler - Z. Zhang,M. Huesler,2.5,1.25,loss,-1.25,Finished,Second Player,"2-6, 6-2, 6-7",Pncl,2.33,0.073,0.26,0.66,0.4,88,89.4,challenger,Challenger Men Singles,underdog,12132536,12132536,708ec76444086a1ad5ffa8d4afe5bb66,1fa67bad778ec35e4697505ffa7a7a8f,2026-06-01T13:09:39.237825+02:00,2026-06-01T22:12:06.088315+02:00
2026-06-01,13:00,M. Sawangkaew - L. Klimovicova,M. Sawangkaew,1.72,1.25,win,0.9,Finished,First Player,"6-4, 7-5",Unibet,1.62,0.0617,0.0786,0.66,0.5814,88,77.6,challenger,Challenger Women Singles,favorite,12132544,12132544,c3abec6c6fff51f75432e6ddd255bdee,88e60d69f5302e7d6e1f1c8761561507,2026-06-01T13:09:39.237838+02:00,2026-06-01T22:12:06.786142+02:00
2026-06-01,13:00,J. J. Schwaerzler - M. Dodig,M. Dodig,2.53,1.0,win,1.53,Finished,Second Player,"4-6, 6-2, 4-6",Pncl,2.34,0.0812,0.1819,0.5772,0.3953,88,90.9,challenger,Challenger Men Singles,underdog,12132418,12132418,c840352a2007d6be9eb4bf3cdb0accee,140a14189321909897af60916eeff775,2026-06-01T13:09:39.237797+02:00,2026-06-01T22:12:05.383055+02:00
2026-06-01,15:00,T. Pieri - V. Bosio,V. Bosio,2.1,1.0,loss,-1.0,Finished,First Player,"6-0, 2-6, 6-2",bet365,1.95,0.0769,0.1171,0.5933,0.4762,88,85.7,challenger,Challenger Women Singles,underdog,12132547,12132547,88b1da1b6472708301d3b58c8fb702b0,f028dc8cdbff8f3cb6fb6182ffa1e21f,2026-06-01T13:09:39.237852+02:00,2026-06-01T22:12:10.429288+02:00
2026-06-01,17:20,L. Giustino - M. Topo,L. Giustino,1.97,1.25,loss,-1.25,Finished,Second Player,"6-2, 2-6, 4-6",Pncl,1.83,0.0765,0.1524,0.66,0.5076,88,92.9,challenger,Challenger Men Singles,favorite,12132412,12132412,07561a8c3049e637330821ba75276a3b,7003b5a87204ea1917f4375f8aed9004,2026-06-01T13:09:39.237860+02:00,2026-06-01T22:12:13.479588+02:00
2026-06-02,11:30,M. Petkovic - A. Moro Canas,M. Petkovic,2.52,1.25,loss,-1.25,Finished,Second Player,"1-6, 3-6",Superbet,2.24,0.1275,0.2632,0.66,0.3968,88,87.9,challenger,Challenger Men Singles,underdog,12132416,12132416,f996c14c3486a12f625e5c557caa3702,75593c418b5a72dd4642c551a4ce0b3f,2026-06-02T01:26:57.795644+02:00,2026-06-02T22:17:25.661401+02:00
2026-06-02,11:30,N. Bartunkova - H. Dart,H. Dart,2.08,1.0,loss,-1.0,Finished,First Player,"3-6, 6-3, 7-5",1xBet,1.9,0.0947,0.1192,0.6,0.4808,88,83.3,challenger,Challenger Women Singles,underdog,12132533,12132533,4312063bbb3fa1bc73e471ce1457ad28,99579e9137090c011bf0039d28691e19,2026-06-02T01:26:57.795681+02:00,2026-06-02T22:17:27.136884+02:00
2026-06-02,12:00,T. Daniel - J. Forejtek,T. Daniel,2.31,1.25,win,1.6375,Finished,First Player,"7-6, 6-1",Pncl,2.1,0.1,0.1939,0.6268,0.4329,88,92.9,challenger,Challenger Men Singles,underdog,12132710,12132710,1fd1416b21baaf63c6675517ce79fd37,47749156e01de635f26764e11b58ce30,2026-06-02T08:17:04.211955+02:00,2026-06-02T22:17:32.182957+02:00
2026-06-02,13:00,A. Gillan - A. Kulikova,A. Gillan,2.25,1.0,loss,-1.0,Finished,Second Player,"5-7, 5-7",bet365,2.1,0.0714,0.2156,0.66,0.4444,88,91.4,itf,Itf Women Singles,underdog,12132816,12132816,8181313064403b9589bc6bbb8f8bd629,e8e088ab4aefc800cb78a39bab163685,2026-06-02T08:17:04.211987+02:00,2026-06-02T22:17:32.896306+02:00
2026-06-02,13:30,V. Durasovic - N. Gombos,V. Durasovic,2.4,1.25,loss,-1.25,Finished,Second Player,"6-7, 6-3, 6-7",Superbet,2.25,0.0667,0.1496,0.5663,0.4167,87.6,92.8,challenger,Challenger Men Singles,underdog,12132708,12132708,3074e186e5568b729fc79956241861e3,0355193a9008362c1c6e1bcc42bec47f,2026-06-02T08:17:04.212008+02:00,2026-06-02T22:17:34.366311+02:00
2026-06-03,10:00,A. Raggi - D. Spiteri,A. Raggi,2.5,1.0,loss,-1.0,Finished,Second Player,"1-6, 3-6",Betfair,2.3,0.0846,0.26,0.66,0.4,88,90.9,itf,Itf Women Singles,underdog,12132933,12132933,dd3fa16e10a10de6b877cc3f98009567,90a5f8774d39aeab62784cd370b46a4a,2026-06-03T12:20:56.686776+02:00,2026-06-04T07:25:51.104371+02:00
2026-06-03,11:30,M. Dodig - G. Den Ouden,M. Dodig,2.48,1.25,loss,-1.25,Finished,Second Player,"3-6, 7-6, 0-6",Pncl,2.3,0.0783,0.2568,0.66,0.4032,88,90.9,challenger,Challenger Men Singles,underdog,12132711,12132711,3eaf51ec0e64b3a422a9910a66527ac9,0c011f16f5c87a7dc75b4bff6dcb9cf2,2026-06-03T12:20:56.686814+02:00,2026-06-04T07:25:54.379480+02:00
2026-06-03,13:00,S. Shimabukuro - S. Mochizuki,S. Shimabukuro,1.95,1.0,win,0.95,Finished,First Player,"7-6, 6-4",Pncl,1.83,0.0656,0.1472,0.66,0.5128,88,92.9,challenger,Challenger Men Singles,favorite,12132325,12132325,12f64b1316e9c3d2c120c610611f26ae,b68b730f7bc8a336d063b42e4d53db48,2026-06-03T12:20:56.686833+02:00,2026-06-04T07:25:47.015698+02:00
